Character,Real Name,Actor,Alignment,Difficulty,Hint
Nova Prime,Irani Rael,Glenn Close,Good,3,"""All Nova pilots, interlock and form a blockade. The Dark Aster must not reach the ground."""
Odin,Odin Borson,Anthony Hopkins,Good,2,"""Are you Thor the god of hammers?"""
Okoye,Okoye,Danai Gurira,Good,2,"""Up, General, up! This is no place to die."""
Peggy Carter,Margaret Carter,Hayley Atwell,Good,1,"""Are you ready for our dance?"""
Pepper Potts,Virginia Potts,Gwyneth Paltrow,Good,1,"""You are the most capable, qualified, trustworthy person I've ever met."""
Professor Hulk,Bruce Banner,Mark Ruffalo,Good,2,"""I see this as an absolute win."""
Proxima Midnight,Proxima Midnight,Monique Ganderton,Bad,2,"""He'll die alone. As will you."""
Quicksilver,Pietro Maximoff,Aaron Taylor-Johnson,Good,2,"""You didn't see that coming?"""
Ramonda,Ramonda,Angela Bassett,Good,3,"""He is with us. And it is your time to be King."""
Raza ,Raza,Farhan Tahir,Bad,3,"""You paid us trinkets to kill a prince."""
Red Skull,Johann Schimdt,Hugo Weaving,Bad,1,"""A lifetime ago, I, too, sought the stones. I even held one in my hand. But it cast me out, banished me here, guiding others to a treasure I can not possess."""
Rescue,Pepper Potts,Gwyneth Paltrow,Good,2,"""Mom never wears anything I buy her."""
Rocket Raccoon,Rocket Raccoon,Bradley Cooper,Good,1,"""Okay, how much for the arm? ...Oh, I'll get that arm."""
Ronan The Accuser,Ronan,Lee Pace,Bad,1,"""I don’t recall killing your family. I doubt I’ll remember killing you either."""
Ronin,Clint Barton,Jeremy Renner,Good,2,"""This is a long way from Budapest"""
Scarlet Witch,Wanda Maximoff,Elizabeth Olsen,Good,1,"""You took everything from me."""
Shuri,Shuri,Letitia Wright,Good,1,"""Don't scare me like that, coloniser!"""
Sif,Lady Sif,Jaimie Alexander,Good,3,"""Betray him, and I'll kill you."""
Spider Man,Peter Parker,Tom Holland,Good,1,"""Underoos!"""
Starhawk,Stakar Ogord,Sylvester Stallone,Good,3,"""What do you say we steal some shit?"""
Star-Lord,Peter Quill,Chris Pratt,Good,1,"""I'm gonna ask you this one time, where is Gamora?"""
Supreme Intelligence,Supreme Intelligence,Annette Bening,Bad,2,"Your commander insists that you're fit to serve."""
Surtur,Surtur,Clancy Brown,Bad,2,"""Tremble before me, Asgard! I am your reckoning!"""
Talos The Untamed,Talos,Ben Mendelsohn,Good,2,"""You know, you should always be polite to your neighbors. You never know when you might need to borrow some sugar."""
Taserface,Taserface,Chris Sullivan,Bad,3,"""For...It is a name what strikes fear into the hearts of anyone who hears it!"""
T'Chaka,T'Chaka,John Kani,Good,3,"""You're a good man with a good heart. And it's hard for a good man to be king."""
Teenage Groot,Groot,Vin Diesel(Voice),Good,2,"""I am Groot!"""
Thanos,Thanos,Damion Poitier/Josh Brolin,Bad,1,"""You should have gone for the head."""
The Collector,Taneleer Tivan,Benecio del Toro,Good,2,"""Everyone in the galaxy knows you'd sell your own brother, if you thought it would add even the slightest trinket to your pathetic collection."""
Thor,Thor Odinson,Chris Hemsworth,Good,1,"""Bring me Thanos!"""
Thunderbolt Ross,Thaddeus Ross,William Hurt,Bad,2,"""Help the green one, damn it! Which one do you think? Cut the other one in half!"""
Ultron,Ultron,James Spader,Bad,1,"""I had strings, but now I'm free. There are no strings on me..."""
Ulysses Klaue,Ulysses Klaue,Andy Serkis,Bad,2,"""Oh, we're going to be rich, boy."""
Valkyrie,Valkyrie,Tessa Thomson,Good,2,"""This is Scrapper 142. I need clearance and an audience with the boss. I’ve got something special."""
Vision,Vision,Paul Bettany,Good,1,"""We don't trade lives, Captain."""
Volstagg,Volstagg,Ray Stevenson,Good,3,"""Do not mistake my appetite for apathy!"""
Vulture,Adrian Toomes,Michael Keaton,Bad,2,"""Business is good."""
War Machine,James Rhodes,Don Cheadle/Terrence Howard,Good,1,"""Boom, you looking for this?"""
Wasp,Janet Van Dyne,Michelle Pfeiffer,Good,2,"""It's okay. I'm... I'm here now. We have time."""
Wasp II,Hope Van Dyne,Evangeline Lilly,Good,1,"""You know when my mother died, I didn’t see him for two weeks?"""
Whiplash,Ivan Vanko,Mickey Rourke,Bad,2,"""I want my bird."""
White Wolf,James Buchanan Barnes,Sebastian Stan,Good,3,"""And a semi-stable hundred-year old man."""
Winter Soldier,James Buchanan Barnes,Sebastian Stan,Bad,1,"""Who the hell is Bucky?"""
W'Kabi,W'Kabi,Daniel Kaluuya,Bad,3,"""Take me with you. We'll take him down together side by side."""
Wong,Wong,Benedict Wong,Good,2,"""Try me Beyoncé."""
Yellowjacket,Darren Cross,Corey Stoll,Bad,2,"""Just imagine a soldier the size of an insect. The ultimate secret weapon."""
Yondu,Yondu Udonta,Michael Rooker,Good,1,"""I'm Mary Poppins, y'all!"""
Yon-Rogg,Yon-Rogg,Jude Law,Bad,2,"""There's nothing more dangerous for a warrior than emotion. Humor is a distraction. And anger? Anger only serves the enemy."""
Zuri,Zuri,Forest Whitaker,Good,3,"""Some truths are too much to bear, T'Challa."""
